"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"1µ";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C2";"1µ";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C3";"4,7µ";"CPOL-EU153CLV-0405";"153CLV-0405";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"C4";"1µ";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C5";"1µ";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C6";"1µ";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C7";"100n";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";
"C8";"220µ/10V";"CPOL-EUE2.5-6";"E2,5-6";"POLARIZED CAPACITOR, European symbol";"";"";"";"";
"D1";"1N4148";"CGRM4001-G";"SOD-123_MINI-SMA";"Molded plasitc,JEDEC SOD-123/Mini SMA";"";"";"";"";
"IC1";"REG1117";"REG1117";"SOT223";"";"";"";"";"";
"K6";"PINHEAD-2X4";"PINHEAD-2X4";"PINHEAD2X4";"";"";"";"";"";
"LED1";"";"LEDSML0805";"SML0805";"LED";"";"";"";"";
"P1";"1k5";"PC25";"PC25";"VITROHM POTENTIOMETER";"CLAROSTAT";"308NPC25KS";"1440998";"03F7518";
"Q1";"BSS123";"BSS123";"SOT23";"N-CHANNEL MOS FET";"";"";"";"";
"R1";"180k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R2";"180k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R3";"4k7";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R4";"470";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R5";"270";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R6";"270";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R7";"270";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R8";"100";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R9";"100";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R10";"470";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R11";"470";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R12";"27k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R13";"470";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R14";"470";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R15";"470";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R16";"470";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R17";"470";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R18";"39";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R19";"10k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R20";"39";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R21";"39";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"R22";"39";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";
"T1";"";"BC847-NPN-SOT23-BEC";"SOT23-BEC";"NPN Transistror";"";"";"";"";
"U1";"ESP-WROOM-32";"ESP-WROOM-32";"ESP-WROOM-32";"";"";"";"";"";
"X1";"DISPL";"53047-08";"53047-08";"CONNECTOR";"";"53047-0810";"1012258";"98K9826";
"X2";"PROG";"53047-05";"53047-05";"CONNECTOR";"MOLEX";"53047-0510";"9732861";"38C9901";
"X3";"";"MINI-DIN-8";"MINI-DIN-8";"";"";"";"";"";
